case,method,status,TP,FP,FN,TN,precision,recall,f1,macro_origin_recall,exact_group_rate,comparisons,alignment_cells,wall_seconds,max_rss_kib
zoxide,body2-k16,completed,19,19,1223,222813,0.5,0.015297906602254429,0.0296875,0.08418688230008985,0.05660377358490566,1661,103728338,172.48162377799963,267056
zoxide,body2-k32,completed,19,19,1223,222813,0.5,0.015297906602254429,0.0296875,0.08418688230008985,0.05660377358490566,3782,226938696,383.11815066500094,267204
zoxide,body2-k8,completed,18,16,1224,222816,0.5294117647058824,0.014492753623188406,0.02821316614420063,0.08328840970350405,0.05660377358490566,936,43520756,72.70116474299903,267104
zoxide,combined3-k16,completed,18,15,1224,222817,0.5454545454545454,0.014492753623188406,0.02823529411764706,0.08328840970350405,0.05660377358490566,471,33679941,52.57396022199828,267148
zoxide,combined3-k32,completed,18,15,1224,222817,0.5454545454545454,0.014492753623188406,0.02823529411764706,0.08328840970350405,0.05660377358490566,719,73776436,118.92423643700022,267280
zoxide,combined3-k8,completed,18,15,1224,222817,0.5454545454545454,0.014492753623188406,0.02823529411764706,0.08328840970350405,0.05660377358490566,345,9260733,13.149706333000722,267092
zoxide,exact,completed,562,167,680,222665,0.7709190672153635,0.4524959742351047,0.5702688990360223,0.2680599054481875,0.1509433962264151,,,2.1714440760006255,267024
zoxide,rescue-k16,completed,18,15,1224,222817,0.5454545454545454,0.014492753623188406,0.02823529411764706,0.08328840970350405,0.05660377358490566,,,2.427132349999738,267056
zoxide,v0,completed,161,221,1081,222611,0.4214659685863874,0.12962962962962962,0.19827586206896552,0.28673346404230216,0.11320754716981132,,,1.83030124600009,267156
fd,body2-k16,completed,93,81,3087,2446070,0.5344827586206896,0.029245283018867925,0.055456171735241505,0.07751997325168056,0.05,5257,400208901,984.1910550100001,859408
fd,body2-k32,budget-refused,,,,,,,,,,,,7.008911970000554,859516
fd,body2-k8,completed,91,80,3089,2446071,0.5321637426900585,0.028616352201257862,0.054312145628170695,0.07743867243867243,0.05,2964,189226656,455.067081453999,859512
fd,combined3-k16,completed,87,56,3093,2446095,0.6083916083916084,0.027358490566037737,0.05236232320192597,0.060772005772005776,0.041666666666666664,2338,69293751,137.35230313600005,858936
fd,combined3-k32,completed,87,59,3093,2446092,0.5958904109589042,0.027358490566037737,0.052315093205051115,0.060772005772005776,0.03333333333333333,3790,210992744,460.48263955199945,859616
fd,combined3-k8,completed,87,55,3093,2446096,0.6126760563380281,0.027358490566037737,0.052378085490668275,0.060772005772005776,0.041666666666666664,1444,25555530,75.62410536000061,859304
fd,exact,completed,803,2816,2377,2443335,0.22188449848024316,0.25251572327044025,0.2362112075305192,0.25895258880553,0.13333333333333333,,,7.624310282999431,859640
fd,rescue-k16,completed,87,56,3093,2446095,0.6083916083916084,0.027358490566037737,0.05236232320192597,0.060772005772005776,0.041666666666666664,,,21.533623833000092,859388
fd,v0,completed,1843,4554,1337,2441597,0.2881037986556198,0.579559748427673,0.38488044272736766,0.3619308006808007,0.13333333333333333,,,12.650350621999678,859528
ripgrep-main,body2-k16,budget-refused,,,,,,,,,,,,34.59874603699973,942256
ripgrep-main,body2-k32,budget-refused,,,,,,,,,,,,36.2028428729991,942180
ripgrep-main,body2-k8,budget-refused,,,,,,,,,,,,36.76666211100019,942400
ripgrep-main,combined3-k16,completed,428,425,3429,7049552,0.5017584994138335,0.11096707285455017,0.18174097664543523,0.13491387808455196,0.10365853658536585,3192,296377911,1315.3841530610007,942348
ripgrep-main,combined3-k32,budget-refused,,,,,,,,,,,,34.39466706900021,942176
ripgrep-main,combined3-k8,completed,421,424,3436,7049553,0.4982248520710059,0.1091521908218823,0.17907273500638027,0.13338948784064952,0.10365853658536585,2174,180687623,1126.3924177400004,942404
ripgrep-main,exact,completed,795,431270,3062,6618707,0.0018400009257866293,0.20611874513870884,0.003647441514766403,0.3043849616220779,0.1951219512195122,,,30.441191183999763,942336
ripgrep-main,rescue-k16,completed,753,425,3104,7049552,0.6392190152801358,0.19522945294270158,0.2991062562065541,0.1394695270893179,0.10975609756097561,,,186.6794621099998,942224
ripgrep-main,v0,completed,302,57162,3555,6992815,0.005255464290686343,0.07829919626652838,0.009849806754619135,0.2576217704511548,0.12804878048780488,,,29.505023708999943,942412
