case,arm,status,label_view,target_count,mask_size,TP,FP,FN,TN,precision,recall,f1,macro_origin_recall,exact_group_rate,positive_pairs,macro_R,candidate_comparisons,on_demand_comparisons,total_comparisons,rescue_comparisons,cross_boundary_cluster_count,mask_members_in_mixed_clusters,outside_members_in_mixed_clusters
hexyl-v0170,V0-relation,completed,primary,568,NA,168,168,559,159542,0.5,0.2310866574965612,0.3160865475070555,0.3621695377792939,0.24390243902439024,727,0.3621695377792939,NA,NA,NA,NA,NA,NA,NA
hexyl-v0170,V0-relation,completed,project_owned,37,37,0,3,1,660,0.0,0.0,0.0,0.0,0.0,1,0.0,NA,NA,NA,NA,1,2,4
hexyl-v0170,V0-relation,completed,previously_unobserved_normalized_origin,49,49,0,8,2,1164,0.0,0.0,0.0,0.0,0.0,2,0.0,NA,NA,NA,NA,2,5,3
hexyl-v0170,exact-token-hash,completed,primary,568,NA,369,84,358,159626,0.8145695364238411,0.5075653370013755,0.6254237288135593,0.33775127311712677,0.14634146341463414,727,0.33775127311712677,NA,NA,NA,NA,NA,NA,NA
hexyl-v0170,exact-token-hash,completed,project_owned,37,37,0,1,1,662,0.0,0.0,0.0,0.0,0.0,1,0.0,NA,NA,NA,NA,0,0,0
hexyl-v0170,exact-token-hash,completed,previously_unobserved_normalized_origin,49,49,0,1,2,1171,0.0,0.0,0.0,0.0,0.0,2,0.0,NA,NA,NA,NA,0,0,0
hexyl-v0170,B2-token-cfg,completed,primary,568,NA,8,19,719,159691,0.2962962962962963,0.011004126547455296,0.021220159151193633,0.10278745644599303,0.07317073170731707,727,0.10278745644599303,1545,0,1545,NA,NA,NA,NA
hexyl-v0170,B2-token-cfg,completed,project_owned,37,37,0,0,1,663,NA,0.0,0.0,0.0,0.0,1,0.0,1545,0,1545,NA,0,0,0
hexyl-v0170,B2-token-cfg,completed,previously_unobserved_normalized_origin,49,49,0,0,2,1172,NA,0.0,0.0,0.0,0.0,2,0.0,1545,0,1545,NA,0,0,0
hexyl-v0170,C3-token-cfg-relation,completed,primary,568,NA,8,17,719,159693,0.32,0.011004126547455296,0.02127659574468085,0.10278745644599303,0.07317073170731707,727,0.10278745644599303,496,1,497,NA,NA,NA,NA
hexyl-v0170,C3-token-cfg-relation,completed,project_owned,37,37,0,0,1,663,NA,0.0,0.0,0.0,0.0,1,0.0,496,1,497,NA,0,0,0
hexyl-v0170,C3-token-cfg-relation,completed,previously_unobserved_normalized_origin,49,49,0,0,2,1172,NA,0.0,0.0,0.0,0.0,2,0.0,496,1,497,NA,0,0,0
hexyl-v0170,B2-body-score,completed,primary,568,NA,8,17,719,159693,0.32,0.011004126547455296,0.02127659574468085,0.10278745644599303,0.07317073170731707,727,0.10278745644599303,496,1,497,NA,NA,NA,NA
hexyl-v0170,B2-body-score,completed,project_owned,37,37,0,0,1,663,NA,0.0,0.0,0.0,0.0,1,0.0,496,1,497,NA,0,0,0
hexyl-v0170,B2-body-score,completed,previously_unobserved_normalized_origin,49,49,0,0,2,1172,NA,0.0,0.0,0.0,0.0,2,0.0,496,1,497,NA,0,0,0
hexyl-v0170,C3-rescue,completed,primary,568,NA,8,17,719,159693,0.32,0.011004126547455296,0.02127659574468085,0.10278745644599303,0.07317073170731707,727,0.10278745644599303,NA,NA,NA,353,NA,NA,NA
hexyl-v0170,C3-rescue,completed,project_owned,37,37,0,0,1,663,NA,0.0,0.0,0.0,0.0,1,0.0,NA,NA,NA,353,0,0,0
hexyl-v0170,C3-rescue,completed,previously_unobserved_normalized_origin,49,49,0,0,2,1172,NA,0.0,0.0,0.0,0.0,2,0.0,NA,NA,NA,353,0,0,0
