case,arm,status,label_view,target_count,mask_size,TP,FP,FN,TN,precision,recall,f1,macro_origin_recall,exact_group_rate,positive_pairs,macro_R,candidate_comparisons,on_demand_comparisons,total_comparisons,rescue_comparisons,cross_boundary_cluster_count,mask_members_in_mixed_clusters,outside_members_in_mixed_clusters
hyperfine-v1200,V0-relation,completed,primary,753,NA,77,292,609,279120,0.2086720867208672,0.11224489795918367,0.14597156398104266,0.28052616108171663,0.12962962962962962,686,0.28052616108171663,NA,NA,NA,NA,NA,NA,NA
hyperfine-v1200,V0-relation,completed,project_owned,49,49,0,0,3,1171,NA,0.0,0.0,0.0,0.0,3,0.0,NA,NA,NA,NA,1,1,1
hyperfine-v1200,V0-relation,completed,previously_unobserved_normalized_origin,270,270,31,52,137,36089,0.37349397590361444,0.18452380952380953,0.24701195219123506,0.22677322677322678,0.15384615384615385,168,0.22677322677322678,NA,NA,NA,NA,12,25,30
hyperfine-v1200,exact-token-hash,completed,primary,753,NA,235,57,451,279355,0.8047945205479452,0.3425655976676385,0.48057259713701433,0.2419592752926086,0.1111111111111111,686,0.2419592752926086,NA,NA,NA,NA,NA,NA,NA
hyperfine-v1200,exact-token-hash,completed,project_owned,49,49,0,0,3,1171,NA,0.0,0.0,0.0,0.0,3,0.0,NA,NA,NA,NA,1,1,4
hyperfine-v1200,exact-token-hash,completed,previously_unobserved_normalized_origin,270,270,22,5,146,36136,0.8148148148148148,0.13095238095238096,0.22564102564102564,0.18664668664668665,0.15384615384615385,168,0.18664668664668665,NA,NA,NA,NA,3,6,6
hyperfine-v1200,B2-token-cfg,completed,primary,753,NA,32,14,654,279398,0.6956521739130435,0.04664723032069971,0.08743169398907104,0.06090802201913313,0.018518518518518517,686,0.06090802201913313,1627,0,1627,NA,NA,NA,NA
hyperfine-v1200,B2-token-cfg,completed,project_owned,49,49,0,0,3,1171,NA,0.0,0.0,0.0,0.0,3,0.0,1627,0,1627,NA,0,0,0
hyperfine-v1200,B2-token-cfg,completed,previously_unobserved_normalized_origin,270,270,19,0,149,36141,1.0,0.1130952380952381,0.20320855614973263,0.03163503163503163,0.0,168,0.03163503163503163,1627,0,1627,NA,0,0,0
hyperfine-v1200,C3-token-cfg-relation,completed,primary,753,NA,26,12,660,279400,0.6842105263157895,0.037900874635568516,0.0718232044198895,0.039009139009139014,0.0,686,0.039009139009139014,372,1,373,NA,NA,NA,NA
hyperfine-v1200,C3-token-cfg-relation,completed,project_owned,49,49,0,0,3,1171,NA,0.0,0.0,0.0,0.0,3,0.0,372,1,373,NA,0,0,0
hyperfine-v1200,C3-token-cfg-relation,completed,previously_unobserved_normalized_origin,270,270,17,0,151,36141,1.0,0.10119047619047619,0.1837837837837838,0.02614052614052614,0.0,168,0.02614052614052614,372,1,373,NA,0,0,0
hyperfine-v1200,B2-body-score,completed,primary,753,NA,23,12,663,279400,0.6571428571428571,0.033527696793002916,0.0638002773925104,0.0393832504943616,0.0,686,0.0393832504943616,372,1,373,NA,NA,NA,NA
hyperfine-v1200,B2-body-score,completed,project_owned,49,49,0,0,3,1171,NA,0.0,0.0,0.0,0.0,3,0.0,372,1,373,NA,0,0,0
hyperfine-v1200,B2-body-score,completed,previously_unobserved_normalized_origin,270,270,11,0,157,36141,1.0,0.06547619047619048,0.12290502793296089,0.019147519147519148,0.0,168,0.019147519147519148,372,1,373,NA,0,0,0
hyperfine-v1200,C3-rescue,completed,primary,753,NA,26,12,660,279400,0.6842105263157895,0.037900874635568516,0.0718232044198895,0.039009139009139014,0.0,686,0.039009139009139014,NA,NA,NA,321,NA,NA,NA
hyperfine-v1200,C3-rescue,completed,project_owned,49,49,0,0,3,1171,NA,0.0,0.0,0.0,0.0,3,0.0,NA,NA,NA,321,0,0,0
hyperfine-v1200,C3-rescue,completed,previously_unobserved_normalized_origin,270,270,17,0,151,36141,1.0,0.10119047619047619,0.1837837837837838,0.02614052614052614,0.0,168,0.02614052614052614,NA,NA,NA,321,0,0,0
