case,arm,status,label_view,target_count,mask_size,TP,FP,FN,TN,precision,recall,f1,macro_origin_recall,exact_group_rate,positive_pairs,macro_R,candidate_comparisons,on_demand_comparisons,total_comparisons,rescue_comparisons,cross_boundary_cluster_count,mask_members_in_mixed_clusters,outside_members_in_mixed_clusters
tokei-v1500,V0-relation,completed,primary,2216,NA,486,4072,1215,2401802,0.1066257130320316,0.2857142857142857,0.15529637322255951,0.36178731359141225,0.17687074829931973,1701,0.36178731359141225,NA,NA,NA,NA,NA,NA,NA
tokei-v1500,V0-relation,completed,project_owned,102,102,1,56,9,5082,0.017543859649122806,0.1,0.029850746268656716,0.05555555555555555,0.0,10,0.05555555555555555,NA,NA,NA,NA,7,12,112
tokei-v1500,V0-relation,completed,previously_unobserved_normalized_origin,458,458,71,328,148,104092,0.17794486215538846,0.3242009132420091,0.2297734627831715,0.2998193587234683,0.15384615384615385,219,0.2998193587234683,NA,NA,NA,NA,25,58,232
tokei-v1500,exact-token-hash,completed,primary,2216,NA,335,2376,1366,2403498,0.12357063814090742,0.1969429747207525,0.15185856754306437,0.2789786869681365,0.17006802721088435,1701,0.2789786869681365,NA,NA,NA,NA,NA,NA,NA
tokei-v1500,exact-token-hash,completed,project_owned,102,102,0,1,10,5137,0.0,0.0,0.0,0.0,0.0,10,0.0,NA,NA,NA,NA,1,1,1
tokei-v1500,exact-token-hash,completed,previously_unobserved_normalized_origin,458,458,36,129,183,104291,0.21818181818181817,0.1643835616438356,0.1875,0.15247378192583672,0.07692307692307693,219,0.15247378192583672,NA,NA,NA,NA,11,20,84
tokei-v1500,B2-token-cfg,completed,primary,2216,NA,89,81,1612,2405793,0.5235294117647059,0.052322163433274546,0.0951362907536077,0.13353128188975572,0.10204081632653061,1701,0.13353128188975572,4646,15,4661,NA,NA,NA,NA
tokei-v1500,B2-token-cfg,completed,project_owned,102,102,0,0,10,5138,NA,0.0,0.0,0.0,0.0,10,0.0,4646,15,4661,NA,0,0,0
tokei-v1500,B2-token-cfg,completed,previously_unobserved_normalized_origin,458,458,7,2,212,104418,0.7777777777777778,0.0319634703196347,0.06140350877192982,0.021794871794871794,0.0,219,0.021794871794871794,4646,15,4661,NA,2,4,2
tokei-v1500,C3-token-cfg-relation,completed,primary,2216,NA,85,50,1616,2405824,0.6296296296296297,0.04997060552616108,0.09259259259259259,0.11292875516478,0.08843537414965986,1701,0.11292875516478,2139,9,2148,NA,NA,NA,NA
tokei-v1500,C3-token-cfg-relation,completed,project_owned,102,102,0,0,10,5138,NA,0.0,0.0,0.0,0.0,10,0.0,2139,9,2148,NA,0,0,0
tokei-v1500,C3-token-cfg-relation,completed,previously_unobserved_normalized_origin,458,458,7,0,212,104420,1.0,0.0319634703196347,0.061946902654867256,0.021794871794871794,0.0,219,0.021794871794871794,2139,9,2148,NA,0,0,0
tokei-v1500,B2-body-score,completed,primary,2216,NA,82,60,1619,2405814,0.5774647887323944,0.048206937095825984,0.08898534997287032,0.13271848924022836,0.10204081632653061,1701,0.13271848924022836,2139,11,2150,NA,NA,NA,NA
tokei-v1500,B2-body-score,completed,project_owned,102,102,0,0,10,5138,NA,0.0,0.0,0.0,0.0,10,0.0,2139,11,2150,NA,0,0,0
tokei-v1500,B2-body-score,completed,previously_unobserved_normalized_origin,458,458,7,2,212,104418,0.7777777777777778,0.0319634703196347,0.06140350877192982,0.021794871794871794,0.0,219,0.021794871794871794,2139,11,2150,NA,2,4,2
tokei-v1500,C3-rescue,completed,primary,2216,NA,85,50,1616,2405824,0.6296296296296297,0.04997060552616108,0.09259259259259259,0.11292875516478,0.08843537414965986,1701,0.11292875516478,NA,NA,NA,612,NA,NA,NA
tokei-v1500,C3-rescue,completed,project_owned,102,102,0,0,10,5138,NA,0.0,0.0,0.0,0.0,10,0.0,NA,NA,NA,612,0,0,0
tokei-v1500,C3-rescue,completed,previously_unobserved_normalized_origin,458,458,7,0,212,104420,1.0,0.0319634703196347,0.061946902654867256,0.021794871794871794,0.0,219,0.021794871794871794,NA,NA,NA,612,0,0,0
