case,arm,status,candidate_pair_count,eligible_pair_count,ineligible_pair_count,candidate_comparisons,candidate_alignment_cells,on_demand_comparisons,on_demand_alignment_cells,total_comparisons,total_alignment_cells,TP,FP,FN,TN,precision,recall,f1,macro_R,exact_group_rate
zoxide,C3-k16,completed,656,471,185,471,33679941,0,0,471,33679941,18,15,1221,222820,0.5454545454545454,0.014527845036319613,0.02830188679245283,0.08489010989010988,0.057692307692307696
zoxide,B2-body-score,completed,656,471,185,471,33838518,0,0,471,33838518,18,15,1221,222820,0.5454545454545454,0.014527845036319613,0.02830188679245283,0.08489010989010988,0.057692307692307696
zoxide,random-0,completed,656,471,185,471,33847537,6,605294,477,34452831,15,9,1224,222826,0.625,0.012106537530266344,0.023752969121140142,0.06053113553113553,0.038461538461538464
zoxide,random-1,completed,656,471,185,471,33690225,9,906057,480,34596282,15,8,1224,222827,0.6521739130434783,0.012106537530266344,0.02377179080824089,0.07783882783882784,0.057692307692307696
zoxide,random-2,completed,656,471,185,471,33771211,9,905156,480,34676367,16,7,1223,222828,0.6956521739130435,0.0129136400322841,0.025356576862123614,0.07976190476190477,0.057692307692307696
zoxide,random-3,completed,656,471,185,471,33872725,4,599076,475,34471801,15,12,1224,222823,0.5555555555555556,0.012106537530266344,0.023696682464454975,0.06282051282051282,0.038461538461538464
zoxide,random-4,completed,656,471,185,471,33887679,7,755999,478,34643678,16,10,1223,222825,0.6153846153846154,0.0129136400322841,0.025296442687747035,0.04642857142857142,0.019230769230769232
fd,C3-k16,completed,2736,2328,408,2328,69293391,10,360,2338,69293751,87,56,3092,2446096,0.6083916083916084,0.02736709657124882,0.052378085490668275,0.061282694896140265,0.04201680672268908
fd,B2-body-score,completed,2736,2328,408,2328,69196410,29,2996,2357,69199406,74,64,3105,2446088,0.5362318840579711,0.023277760301981754,0.04461863129333735,0.06820854215812198,0.04201680672268908
fd,random-0,completed,2736,2328,408,2328,69254100,30,29939,2358,69284039,54,53,3125,2446099,0.5046728971962616,0.016986473733878578,0.032866707242848445,0.03849092084386202,0.01680672268907563
fd,random-1,completed,2736,2328,408,2328,69229877,35,30521,2363,69260398,52,58,3127,2446094,0.4727272727272727,0.01635734507706826,0.03162055335968379,0.05110547715589732,0.03361344537815126
fd,random-2,completed,2736,2328,408,2328,69181763,27,31670,2355,69213433,49,60,3130,2446092,0.44954128440366975,0.015413652091852784,0.029805352798053526,0.04447177472387556,0.025210084033613446
fd,random-3,completed,2736,2328,408,2328,69040040,24,19718,2352,69059758,46,55,3133,2446097,0.45544554455445546,0.014469959106637308,0.02804878048780488,0.03759937541450145,0.01680672268907563
fd,random-4,completed,2736,2328,408,2328,69089790,33,96623,2361,69186413,47,51,3132,2446101,0.47959183673469385,0.014784523435042466,0.028684772657918828,0.04372686137392019,0.025210084033613446
ripgrep-main,C3-k16,completed,8084,2978,5106,2978,294037037,214,2340874,3192,296377911,428,425,3429,7049552,0.5017584994138335,0.11096707285455017,0.18174097664543523,0.13491387808455194,0.10365853658536585
ripgrep-main,B2-body-score,completed,8084,2978,5106,2978,294118007,183,3065731,3161,297183738,440,403,3417,7049574,0.5219454329774614,0.11407829919626652,0.18723404255319148,0.1471815900473859,0.11585365853658537
ripgrep-main,random-0,completed,8084,2978,5106,2978,294096370,266,7736127,3244,301832497,398,406,3459,7049571,0.49502487562189057,0.10318900700025926,0.1707788028320103,0.09688478096763838,0.07317073170731707
ripgrep-main,random-1,completed,8084,2978,5106,2978,294102640,265,9848506,3243,303951146,389,413,3468,7049564,0.4850374064837905,0.100855587243972,0.16698862416827645,0.09136311098739697,0.06707317073170732
ripgrep-main,random-2,completed,8084,2978,5106,2978,293777532,277,9005458,3255,302782990,409,407,3448,7049570,0.5012254901960784,0.10604096448016594,0.1750481489407233,0.09895278633077728,0.07317073170731707
ripgrep-main,random-3,completed,8084,2978,5106,2978,294499909,278,14436449,3256,308936358,407,413,3450,7049564,0.49634146341463414,0.10552242675654654,0.17404319007911054,0.10303234498350668,0.07926829268292683
ripgrep-main,random-4,completed,8084,2978,5106,2978,293861598,279,11440071,3257,305301669,405,406,3452,7049571,0.499383477188656,0.10500388903292715,0.17352185089974292,0.0851026121147494,0.06707317073170732
